ID;COD; NUM_LAB; ESTACAO;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
20;SMP;IBV221;MB-0249;0,03;1,76;0,5;0,05;5;179;0,7;0,11;0,2;0,05;56,92;19,9;61;0,52;15,3;3,91;7,4;0,1;0,27;0,04;0,02;0,15;36,1;4;0,14;0,28;1306;1,05;0,02;3,7;22,4;509;10,1;14;0,05;0,04;0,025;5,7;0,5;0,9;30,5;0,06;0,55;0,06;9,5;0,26;0,09;0,55;47;0,2;12,35;1;56;3,8
21;SMP;IBV222;MB-0250;0,005;1,35;1;0,05;5;102;0,8;0,26;0,12;0,07;49,14;13,7;33;1,67;20,2;2,5;5,6;0,05;0,21;0,05;0,01;0,21;19,9;13;0,09;0,26;860;0,98;0,005;1,88;17,4;224;19,3;20,9;0,05;0,005;0,13;3,7;0,5;0,8;11,4;0,025;0,37;0,025;6,9;0,1;0,16;0,78;33;0,2;8,26;0,7;63;5,5
22;SMP;IBV224;MB-0251;0,03;1,28;3;0,05;5;87;0,7;0,2;0,12;0,04;34,34;12,2;31;2,16;20,9;2,51;5,4;0,05;0,15;0,04;0,01;0,22;18,2;17;0,1;0,31;721;0,88;0,01;1,74;20,8;259;10,6;21,2;0,05;0,005;0,13;3,4;0,5;0,5;15;0,06;0,39;0,025;6,5;0,1;0,13;0,78;29;0,2;8,13;0,8;60;5
23;SMP;IBV225;MB-0257;0,01;1,4;1;0,05;5;97;0,8;0,25;0,08;0,03;64,76;8;29;1,34;17,2;2,87;6,3;0,05;0,12;0,06;0,01;0,27;33;11;0,08;0,2;981;1,41;0,01;1,83;15,6;310;13,2;23,5;0,05;0,005;0,14;4,4;0,5;1;8,9;0,07;0,5;0,025;13,6;0,06;0,15;1,69;29;0,2;7,32;0,6;46;2,9
24;SMP;IBV226;MB-0258;0,005;1,04;0,5;0,05;5;84;0,8;0,16;0,13;0,04;192,85;11;44;1,82;12,6;4,4;7,5;0,3;0,14;0,04;0,01;0,26;113,4;10;0,16;0,3;513;0,92;0,02;2,57;15,9;283;9,8;25,5;0,05;0,005;0,06;3,6;0,5;1,2;7,4;0,05;1,84;0,025;25,3;0,15;0,13;2,25;48;0,2;26,3;1,3;52;3,2
25;SMP;IBV227;MB-0260;0,005;1,34;0,5;0,05;5;160;0,3;0,06;0,24;0,04;71;7,5;53;0,41;10,9;2,97;5,4;0,1;0,14;0,04;0,01;0,2;48,7;3;0,08;0,26;734;1,64;0,03;7,1;15,8;311;12,1;13,5;0,05;0,005;0,07;3;0,5;0,6;30,6;0,05;0,4;0,025;11,1;0,42;0,06;0,47;42;0,4;7,58;0,6;48;3,8
26;SMP;IBV228;MB-0264;0,005;0,45;8;0,05;5;44;0,4;0,14;0,03;0,05;50,46;3,4;10;0,84;10,3;1,43;2,3;0,05;0,12;0,05;0,01;0,14;30,6;3;0,03;0,04;182;1,2;0,01;1,21;10,1;181;5,7;11,3;0,05;0,005;0,28;1,1;0,5;0,15;4,4;0,025;0,34;0,025;6;0,04;0,07;0,71;10;0,2;2,51;0,2;42;4,2
27;SMP;IBV229;MB-0265;0,02;1,39;21;0,05;5;78;0,6;0,11;0,23;0,09;38,08;24,6;36;1,33;104,3;5,52;7,1;0,05;0,12;0,02;0,03;0,17;21,1;9;0,08;0,33;1421;1,05;0,02;1,2;32,4;307;6,2;16;0,05;0,02;0,44;10,3;0,5;0,15;11,3;0,07;0,35;0,025;4,9;0,17;0,08;0,55;122;0,2;6,15;0,6;93;4,5
28;SMP;IBV230;MB-0266;0,03;0,56;13;0,05;5;66;0,5;0,17;0,05;0,16;60,77;5,7;11;0,79;13,9;1,93;2,7;0,05;0,12;0,04;0,01;0,19;35,5;4;0,04;0,03;335;1,48;0,01;0,78;14,7;266;10,4;12,2;0,05;0,01;0,4;1,5;0,5;0,15;6;0,07;0,38;0,025;6,3;0,005;0,09;0,86;10;0,6;3,28;0,3;83;4,1
29;SMP;IBV231;MB-0267;0,01;0,64;14;0,05;5;49;0,6;0,17;0,06;0,05;54,86;6,7;14;1,04;19,2;2,44;3,4;0,05;0,11;0,02;0,01;0,21;31,9;5;0,05;0,04;236;1,31;0,02;0,76;13;236;7,5;14,1;0,05;0,01;0,26;2,8;0,5;0,15;4,6;0,09;0,4;0,025;7,5;0,01;0,07;0,6;16;0,4;3,77;0,3;49;6
30;SMP;IBV232;MB-0268;0,005;0,8;10;0,05;5;43;0,5;0,18;0,05;0,04;41,78;6,5;17;1,34;13,5;2,36;3,9;0,05;0,11;0,05;0,01;0,12;24,7;4;0,04;0,04;274;1,4;0,02;2,09;13,1;163;6,2;12,1;0,05;0,02;0,22;2,6;0,5;0,15;5,4;0,06;0,31;0,025;5,4;0,08;0,09;0,61;33;0,2;3,31;0,3;42;4
31;SMP;IBV233;MB-0269;0,005;1,16;7;0,05;5;57;0,4;0,14;0,13;0,05;33,06;16,7;41;0,96;35,1;2,98;4,7;0,05;0,08;0,03;0,01;0,14;18,7;10;0,06;0,3;561;1,15;0,03;0,91;26,1;257;7,6;11,4;0,05;0,03;0,4;5,6;0,5;0,15;6,8;0,05;0,31;0,07;4,2;0,05;0,07;0,48;51;0,1;4,69;0,4;47;3,3
32;SMP;IBV234;MB-0270;0,005;0,76;10;0,05;5;60;0,3;0,19;0,06;0,04;36,86;10,6;22;0,8;24;3,02;4,1;0,05;0,08;0,06;0,01;0,12;21,7;5;0,05;0,08;962;1,13;0,01;0,71;14,8;257;7;9,7;0,05;0,02;0,55;3,6;0,5;0,3;3,6;0,06;0,27;0,06;4,6;0,02;0,07;0,42;29;0,2;3,76;0,3;38;4
33;SMP;IBV235;RB-0021;0,005;1,28;0,5;0,05;5;125;0,4;0,04;0,09;0,05;458,71;8,5;48;0,38;20,3;2,93;8,7;0,5;0,29;0,02;0,01;0,14;312,6;4;0,16;0,18;1103;1,9;0,03;8,34;17,9;511;22,7;7,7;0,05;0,03;0,13;4,9;0,5;0,9;23,4;0,08;2,26;0,025;83;0,94;0,05;1,73;50;0,1;20,28;1,2;80;11,4
34;SMP;IBV236;RB-0039;0,005;1,13;0,5;0,05;5;100;0,5;0,06;0,2;0,05;95,71;14,3;105;0,7;15,5;3,7;5,5;0,2;0,18;0,04;0,01;0,12;60,9;5;0,15;0,23;872;1,04;0,03;5,24;25,9;413;10,4;15;0,05;0,005;0,025;4,5;0,5;0,6;20,6;0,08;0,82;0,025;21,5;0,56;0,08;1,64;65;0,2;13,64;1;60;6,4
35;SMP;IBV237;RB-0045;0,005;1,16;0,5;0,05;5;121;0,5;0,05;0,14;0,04;45,93;12;84;0,51;13,8;2,68;5,3;0,1;0,14;0,02;0,01;0,13;31,4;5;0,12;0,22;550;1,18;0,02;3,76;29,5;333;8,3;18,2;0,05;0,01;0,025;4,2;0,5;0,6;17,9;0,025;0,44;0,025;9;0,31;0,09;0,82;45;0,1;9,62;0,9;58;5,9
36;SMP;IBV239;RB-0202;0,01;1,82;11;0,05;5;70;0,6;0,22;0,14;0,04;32,88;18,6;40;2,58;57,1;4,64;8,7;0,05;0,19;0,06;0,03;0,18;17,4;10;0,08;0,42;822;0,85;0,02;1,35;31,6;262;8,7;26;0,05;0,005;0,39;8,6;0,5;0,5;11,8;0,05;0,36;0,025;6,2;0,15;0,16;0,62;100;0,2;6,79;0,6;62;8,1
37;SMP;IBV240;RB-0205;0,005;0,64;3;0,05;5;30;0,3;0,13;0,1;0,03;16,92;6,1;19;1,16;14,7;1,65;2,9;0,05;0,1;0,03;0,01;0,13;9,1;5;0,04;0,11;267;1,51;0,03;1,76;12,6;146;5,8;15,1;0,05;0,04;0,16;2,6;0,5;0,15;3,9;0,08;0,18;0,025;2,8;0,08;0,1;0,34;27;0,3;3,27;0,3;32;3,5
38;SMP;IBV241;RB-0215;0,2;1,46;31;0,1;5;101;0,7;0,38;0,11;0,09;46,2;22,5;52;1,75;42,1;4,51;6,6;0,05;0,19;0,05;0,03;0,21;23,2;10;0,09;0,23;1548;0,94;0,02;1,39;32,4;302;23,9;19,3;0,05;0,01;2,25;8;0,5;0,7;8,8;0,08;0,37;0,09;5,4;0,23;0,15;0,71;71;0,2;6,13;0,7;79;6,9
39;SMP;IBV242;RB-0226;0,63;1,69;253;0,05;5;147;1,5;4,58;0,12;0,32;39,92;40;132;3,89;129;5,66;8,6;0,1;0,19;0,005;0,06;0,18;20,1;14;0,09;0,35;1984;3,25;0,02;0,9;76,9;364;143,8;42,2;0,05;0,04;18,86;13,1;0,5;0,6;10,7;0,07;0,39;0,25;5;0,12;0,46;1,2;115;12,4;7,09;0,6;151;5,9
40;SMP;IBV243;RB-0236;0,1;0,76;13;0,05;5;193;0,6;0,34;0,03;0,07;66,29;19,4;27;0,92;30,8;4,52;5;0,1;0,15;0,06;0,01;0,13;32;6;0,05;0,05;3698;1,79;0,005;1,47;24,3;526;21,3;10;0,05;0,05;0,59;2,6;0,5;0,3;9;0,05;0,4;0,14;6,5;0,05;0,13;0,67;25;0,7;4,33;0,3;86;3,6
41;SMP;IBV244;RB-0256;0,01;1,5;1;0,05;5;130;1,5;0,27;0,1;0,04;116,24;18,2;34;1,96;32,5;3,98;7,8;0,2;0,17;0,03;0,02;0,29;62,7;17;0,22;0,31;1716;1,33;0,02;1,77;25,8;366;13,3;30,2;0,05;0,07;0,18;5,6;0,5;1,1;7,2;0,1;1,13;0,08;23;0,09;0,16;2,63;35;0,3;20,33;1,6;71;2,7
42;SMP;IBV245;RB-0259;0,005;0,87;0,5;0,05;5;63;0,5;0,07;0,14;0,07;131,3;9,1;56;1,71;10,6;2,44;5,2;0,2;0,19;0,05;0,01;0,13;75,4;8;0,1;0,23;382;1,07;0,02;2,41;21,3;347;8,2;16,3;0,05;0,04;0,05;3,3;0,5;0,4;11,2;0,08;1,2;0,025;22,6;0,16;0,1;2,57;43;0,3;14,98;0,8;53;3,4
43;SMP;IBV246;RB-0261;0,05;0,96;20;0,05;5;218;0,9;0,32;0,07;0,14;64,05;22,6;29;1,72;41,4;5,69;5,6;0,1;0,1;0,05;0,01;0,19;29,3;10;0,06;0,12;3984;1,53;0,01;0,69;29,1;632;27,8;15,2;0,05;0,03;1,5;2,9;0,5;0,15;11;0,06;0,4;0,2;8,8;0,03;0,16;0,72;28;0,3;4,95;0,5;117;2,8
